label,message
ham,Hey are we still meeting at 6 pm today?
spam,Congratulations you have won a free vacation call now to claim
ham,Can you send the project file before lunch?
spam,Limited time offer buy one get one free on all products
ham,Your OTP for login is 482913 please do not share it
spam,You have been selected for a cash reward click the link immediately
ham,Let's reschedule our call to tomorrow morning
spam,Winner you have earned a $1000 gift card text back now
ham,Thanks for helping me with the presentation
spam,Urgent your account will be blocked verify your details now
ham,Please review the attached notes before class
spam,Exclusive deal for valued customer claim your bonus today
ham,I'll reach the station in ten minutes
spam,You are pre approved for a low interest loan apply instantly
ham,Happy birthday hope you have a great day
spam,Free entry into our contest just reply YES to win
ham,Can we move the meeting to conference room B?
spam,Act now to receive your special discount voucher
ham,The food was great thanks for ordering
spam,Claim your prize before midnight to avoid cancellation
ham,The doctor appointment is confirmed for Friday
spam,Get rich fast with this secret trading system
ham,Please submit your assignment by 5 pm
spam,Your mobile number has won a brand new smartphone
ham,I'll call you once I finish the client meeting
spam,Final reminder pay processing fee to release your reward
ham,The package has been delivered to the front desk
spam,Cheap meds available without prescription order today
ham,Do not forget the team dinner tonight
spam,Click here to unlock premium access for free
ham,Can you pick up milk on your way home?
spam,Win guaranteed cash by joining our survey now
ham,Meeting notes are uploaded in the shared drive
spam,This is your last chance to claim the lottery amount
ham,Your interview is scheduled for Monday afternoon
spam,Hot singles in your area are waiting chat now
ham,Please update me after the demo goes live
spam,Verify your bank account now to prevent suspension
ham,We landed safely see you soon
spam,Special promotion available only for selected users

